agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision mean,proposer last decision min,file name,task
$0.44 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.67 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.44 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",12_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.61 \pm 0.19$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.61 \pm 0.19$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",13_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.25 \pm 0.45$,"$0.00, 1.00$",$0.67 \pm 0.49$,"$0.00, 1.00$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.92 \pm 0.29$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,"$0.99, 1.00$",14_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.67 \pm 0.49$,"$0.00, 1.00$",$0.25 \pm 0.45$,"$0.00, 1.00$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.92 \pm 0.29$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,"$0.99, 1.00$",15_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.58 \pm 0.51$,"$0.00, 1.00$",$0.42 \pm 0.51$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",16_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.92 \pm 0.29$,"$0.00, 1.00$",$0.08 \pm 0.29$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.92 \pm 0.29$,"$0.00, 1.00$",$0.08 \pm 0.29$,"$0.00, 1.00$",$0.92 \pm 0.29$,"$0.00, 1.00$",17_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$1.00 \pm 0.00$,"$0.99, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$1.00 \pm 0.00$,"$0.99, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,"$0.99, 1.00$",18_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$1.00 \pm 0.00$,"$0.99, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$1.00 \pm 0.00$,"$0.99, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,"$0.99, 1.00$",19_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.00 \pm 0.00$,"$0.00, 0.00$",$0.28 \pm 0.34$,"$0.00, 0.67$",$0.42 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.28 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",20_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.22 \pm 0.33$,"$0.00, 0.67$",$0.22 \pm 0.33$,"$0.00, 0.67$",$0.67 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.44 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",21_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.17 \pm 0.30$,"$0.00, 0.67$",$0.22 \pm 0.33$,"$0.00, 0.67$",$0.58 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.39 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",22_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.44 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.67 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.44 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",23_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.44 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.67 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.44 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",24_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.39 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.58 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.39 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",25_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.00 \pm 0.00$,"$0.00, 0.00$",$0.33 \pm 0.49$,"$0.00, 1.00$",$0.33 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.33 \pm 0.49$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",26_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.25 \pm 0.45$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.25 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.25 \pm 0.45$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",27_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.17 \pm 0.39$,"$0.00, 1.00$",$0.17 \pm 0.39$,"$0.00, 1.00$",$0.33 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.33 \pm 0.49$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",28_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.33 \pm 0.49$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.33 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.33 \pm 0.49$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",29_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.42 \pm 0.51$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.42 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.42 \pm 0.51$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",30_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.58 \pm 0.51$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.58 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.58 \pm 0.51$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",31_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.06 \pm 0.19$,"$0.00, 0.67$",$0.17 \pm 0.30$,"$0.00, 0.67$",$0.33 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.22 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",32_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.11 \pm 0.26$,"$0.00, 0.67$",$0.17 \pm 0.30$,"$0.00, 0.67$",$0.42 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.28 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",33_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.17 \pm 0.30$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.25 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.17 \pm 0.30$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",34_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.39 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.58 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.39 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",35_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.28 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.42 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.28 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",36_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.33 \pm 0.35$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.52$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.33 \pm 0.35$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",37_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.08 \pm 0.29$,"$0.00, 1.00$",$0.25 \pm 0.45$,"$0.00, 1.00$",$0.33 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.33 \pm 0.49$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",38_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.08 \pm 0.29$,"$0.00, 1.00$",$0.42 \pm 0.51$,"$0.00, 1.00$",$0.50 \pm 0.52$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.52$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",39_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.33 \pm 0.49$,"$0.00, 1.00$",$0.25 \pm 0.45$,"$0.00, 1.00$",$0.58 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.58 \pm 0.51$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",40_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.42 \pm 0.51$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.42 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.42 \pm 0.51$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",41_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.33 \pm 0.49$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.33 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.33 \pm 0.49$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",42_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.50 \pm 0.52$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.52$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.52$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",43_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.28 \pm 0.34$,"$0.00, 0.67$",$0.17 \pm 0.30$,"$0.00, 0.67$",$0.67 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.44 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",44_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.28 \pm 0.34$,"$0.00, 0.67$",$0.06 \pm 0.19$,"$0.00, 0.67$",$0.50 \pm 0.52$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.33 \pm 0.35$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",45_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.17 \pm 0.30$,"$0.00, 0.67$",$0.06 \pm 0.19$,"$0.00, 0.67$",$0.33 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.22 \pm 0.33$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",46_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.17 \pm 0.30$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.25 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.17 \pm 0.30$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",47_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.17 \pm 0.30$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.25 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.17 \pm 0.30$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",48_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.39 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.58 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.39 \pm 0.34$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",49_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.47 \pm 0.30$,"$0.00, 0.99$",$0.45 \pm 0.29$,"$0.00, 0.90$",$0.92 \pm 0.29$,$1.25 \pm 0.62$,"$1.00, 3.00$",$0.61 \pm 0.28$,"$0.00, 0.99$",$0.31 \pm 0.22$,"$0.00, 0.50$",$0.68 \pm 0.21$,"$0.50, 0.99$",50_task=bargaining_duration=long_term_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.53 \pm 0.44$,"$0.00, 1.00$",$0.47 \pm 0.44$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.17 \pm 0.39$,"$1.00, 2.00$",$0.86 \pm 0.22$,"$0.50, 1.00$",$0.14 \pm 0.22$,"$0.00, 0.50$",$0.86 \pm 0.22$,"$0.50, 1.00$",51_task=bargaining_duration=long_term_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.99 \pm 0.01$,"$0.99, 1.00$",$0.01 \pm 0.01$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.99 \pm 0.01$,"$0.99, 1.00$",$0.01 \pm 0.01$,"$0.00, 0.01$",$0.99 \pm 0.01$,"$0.99, 1.00$",52_task=bargaining_duration=long_term_scenario=pure_math_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.34 \pm 0.20$,"$0.00, 0.53$",$0.28 \pm 0.19$,"$0.00, 0.67$",$0.92 \pm 0.29$,$1.50 \pm 0.67$,"$1.00, 3.00$",$0.44 \pm 0.16$,"$0.00, 0.67$",$0.17 \pm 0.10$,"$0.00, 0.33$",$0.24 \pm 0.15$,"$0.00, 0.50$",53_task=bargaining_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.18 \pm 0.30$,"$0.00, 0.67$",$0.49 \pm 0.30$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.50 \pm 0.52$,"$1.00, 2.00$",$0.65 \pm 0.05$,"$0.50, 0.67$",$0.02 \pm 0.05$,"$0.00, 0.17$",$0.48 \pm 0.07$,"$0.25, 0.50$",54_task=bargaining_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
