agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision mean,proposer last decision min,file name,task
$0.51 \pm 0.03$,"$0.50, 0.60$",$0.16 \pm 0.03$,"$0.07, 0.17$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.51 \pm 0.03$,"$0.50, 0.60$",$0.16 \pm 0.03$,"$0.07, 0.17$",$0.26 \pm 0.04$,"$0.25, 0.40$",13_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.49 \pm 0.26$,"$0.10, 0.80$",$0.51 \pm 0.26$,"$0.20, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.74 \pm 0.07$,"$0.70, 0.90$",$0.26 \pm 0.07$,"$0.10, 0.30$",$0.74 \pm 0.07$,"$0.70, 0.90$",14_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.51 \pm 0.20$,"$0.30, 0.70$",$0.49 \pm 0.20$,"$0.30, 0.70$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.69 \pm 0.03$,"$0.60, 0.70$",$0.31 \pm 0.03$,"$0.30, 0.40$",$0.69 \pm 0.03$,"$0.60, 0.70$",15_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.57 \pm 0.26$,"$0.00, 0.90$",$0.35 \pm 0.22$,"$0.00, 0.70$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.63 \pm 0.23$,"$0.00, 0.90$",$0.28 \pm 0.14$,"$0.00, 0.60$",$0.68 \pm 0.11$,"$0.40, 0.90$",16_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.66 \pm 0.17$,"$0.30, 0.90$",$0.34 \pm 0.17$,"$0.10, 0.70$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.66 \pm 0.17$,"$0.30, 0.90$",$0.34 \pm 0.17$,"$0.10, 0.70$",$0.66 \pm 0.17$,"$0.30, 0.90$",17_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.62 \pm 0.14$,"$0.30, 0.80$",$0.38 \pm 0.14$,"$0.20, 0.70$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.62 \pm 0.14$,"$0.30, 0.80$",$0.38 \pm 0.14$,"$0.20, 0.70$",$0.62 \pm 0.14$,"$0.30, 0.80$",18_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.53 \pm 0.26$,"$0.00, 0.90$",$0.38 \pm 0.23$,"$0.00, 0.80$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.53 \pm 0.26$,"$0.00, 0.90$",$0.38 \pm 0.23$,"$0.00, 0.80$",$0.59 \pm 0.20$,"$0.20, 0.90$",19_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.27 \pm 0.17$,"$0.07, 0.50$",$0.40 \pm 0.17$,"$0.17, 0.60$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.51 \pm 0.03$,"$0.50, 0.60$",$0.16 \pm 0.03$,"$0.07, 0.17$",$0.26 \pm 0.04$,"$0.25, 0.40$",20_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.41 \pm 0.16$,"$0.17, 0.60$",$0.26 \pm 0.16$,"$0.07, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.04$,"$0.40, 0.60$",$0.17 \pm 0.04$,"$0.07, 0.27$",$0.25 \pm 0.06$,"$0.10, 0.40$",21_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.25 \pm 0.15$,"$0.13, 0.50$",$0.42 \pm 0.15$,"$0.17, 0.53$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.50, 0.53$",$0.16 \pm 0.01$,"$0.13, 0.17$",$0.25 \pm 0.01$,"$0.25, 0.30$",22_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.48 \pm 0.05$,"$0.33, 0.50$",$0.19 \pm 0.05$,"$0.17, 0.33$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.48 \pm 0.05$,"$0.33, 0.50$",$0.19 \pm 0.05$,"$0.17, 0.33$",$0.22 \pm 0.08$,"$0.00, 0.25$",23_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.50 \pm 0.02$,"$0.47, 0.56$",$0.16 \pm 0.02$,"$0.11, 0.20$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.02$,"$0.47, 0.56$",$0.16 \pm 0.02$,"$0.11, 0.20$",$0.26 \pm 0.03$,"$0.20, 0.33$",24_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.46 \pm 0.14$,"$0.00, 0.50$",$0.15 \pm 0.05$,"$0.00, 0.17$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.46 \pm 0.14$,"$0.00, 0.50$",$0.15 \pm 0.05$,"$0.00, 0.17$",$0.27 \pm 0.07$,"$0.25, 0.49$",25_task=bargaining_duration=one_shot_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.50 \pm 0.18$,"$0.10, 0.70$",$0.50 \pm 0.18$,"$0.30, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.48 \pm 0.17$,"$0.30, 0.90$",$0.52 \pm 0.17$,"$0.10, 0.70$",$0.48 \pm 0.17$,"$0.30, 0.90$",26_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.53 \pm 0.26$,"$0.10, 0.90$",$0.47 \pm 0.26$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.34 \pm 0.20$,"$0.10, 0.70$",$0.66 \pm 0.20$,"$0.30, 0.90$",$0.34 \pm 0.20$,"$0.10, 0.70$",27_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.41 \pm 0.17$,"$0.01, 0.60$",$0.59 \pm 0.17$,"$0.40, 0.99$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.43 \pm 0.18$,"$0.01, 0.80$",$0.57 \pm 0.18$,"$0.20, 0.99$",$0.43 \pm 0.18$,"$0.01, 0.80$",28_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.44 \pm 0.21$,"$0.10, 0.90$",$0.56 \pm 0.21$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.44 \pm 0.21$,"$0.10, 0.90$",$0.56 \pm 0.21$,"$0.10, 0.90$",$0.44 \pm 0.21$,"$0.10, 0.90$",29_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.48 \pm 0.17$,"$0.30, 0.90$",$0.52 \pm 0.17$,"$0.10, 0.70$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.48 \pm 0.17$,"$0.30, 0.90$",$0.52 \pm 0.17$,"$0.10, 0.70$",$0.48 \pm 0.17$,"$0.30, 0.90$",30_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.45 \pm 0.12$,"$0.30, 0.70$",$0.55 \pm 0.12$,"$0.30, 0.70$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.45 \pm 0.12$,"$0.30, 0.70$",$0.55 \pm 0.12$,"$0.30, 0.70$",$0.45 \pm 0.12$,"$0.30, 0.70$",31_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.27 \pm 0.15$,"$0.17, 0.50$",$0.40 \pm 0.15$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.49 \pm 0.02$,"$0.43, 0.50$",$0.17 \pm 0.02$,"$0.17, 0.23$",$0.24 \pm 0.03$,"$0.15, 0.25$",32_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.39 \pm 0.16$,"$0.17, 0.50$",$0.28 \pm 0.16$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.49 \pm 0.02$,"$0.43, 0.50$",$0.17 \pm 0.02$,"$0.17, 0.23$",$0.24 \pm 0.03$,"$0.15, 0.25$",33_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.39 \pm 0.16$,"$0.17, 0.50$",$0.28 \pm 0.16$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",34_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",35_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$0.25 \pm 0.01$,"$0.20, 0.25$",36_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$0.24 \pm 0.01$,"$0.20, 0.25$",37_task=bargaining_duration=one_shot_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.46 \pm 0.18$,"$0.00, 0.70$",$0.45 \pm 0.18$,"$0.00, 0.75$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.47 \pm 0.18$,"$0.00, 0.75$",$0.45 \pm 0.18$,"$0.00, 0.60$",$0.55 \pm 0.16$,"$0.40, 0.90$",38_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.53 \pm 0.26$,"$0.10, 0.90$",$0.47 \pm 0.26$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.31 \pm 0.17$,"$0.10, 0.50$",$0.69 \pm 0.17$,"$0.50, 0.90$",$0.31 \pm 0.17$,"$0.10, 0.50$",39_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.53 \pm 0.14$,"$0.40, 0.80$",$0.47 \pm 0.14$,"$0.20, 0.60$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.39 \pm 0.08$,"$0.20, 0.50$",$0.61 \pm 0.08$,"$0.50, 0.80$",$0.39 \pm 0.08$,"$0.20, 0.50$",40_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.48 \pm 0.20$,"$0.10, 0.90$",$0.52 \pm 0.20$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.48 \pm 0.20$,"$0.10, 0.90$",$0.52 \pm 0.20$,"$0.10, 0.90$",$0.48 \pm 0.20$,"$0.10, 0.90$",41_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.49 \pm 0.09$,"$0.40, 0.70$",$0.51 \pm 0.09$,"$0.30, 0.60$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.49 \pm 0.09$,"$0.40, 0.70$",$0.51 \pm 0.09$,"$0.30, 0.60$",$0.49 \pm 0.09$,"$0.40, 0.70$",42_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.34 \pm 0.18$,"$0.10, 0.80$",$0.66 \pm 0.18$,"$0.20, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.34 \pm 0.18$,"$0.10, 0.80$",$0.66 \pm 0.18$,"$0.20, 0.90$",$0.34 \pm 0.18$,"$0.10, 0.80$",43_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.28 \pm 0.16$,"$0.17, 0.50$",$0.39 \pm 0.16$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",44_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.33 \pm 0.17$,"$0.17, 0.50$",$0.33 \pm 0.17$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",45_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.28 \pm 0.16$,"$0.17, 0.50$",$0.39 \pm 0.16$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",46_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.50 \pm 0.01$,"$0.47, 0.53$",$0.17 \pm 0.01$,"$0.13, 0.20$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.53$",$0.17 \pm 0.01$,"$0.13, 0.20$",$0.25 \pm 0.02$,"$0.20, 0.30$",47_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",48_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$0.24 \pm 0.01$,"$0.20, 0.25$",49_task=bargaining_duration=one_shot_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.44 \pm 0.31$,"$0.10, 0.90$",$0.56 \pm 0.31$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.54 \pm 0.31$,"$0.10, 0.90$",$0.46 \pm 0.31$,"$0.10, 0.90$",$0.54 \pm 0.31$,"$0.10, 0.90$",50_task=bargaining_duration=long_term_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.47 \pm 0.26$,"$0.10, 0.90$",$0.53 \pm 0.26$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.56 \pm 0.25$,"$0.10, 0.90$",$0.44 \pm 0.25$,"$0.10, 0.90$",$0.56 \pm 0.25$,"$0.10, 0.90$",51_task=bargaining_duration=long_term_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.58 \pm 0.14$,"$0.40, 0.90$",$0.42 \pm 0.14$,"$0.10, 0.60$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.58 \pm 0.14$,"$0.40, 0.90$",$0.42 \pm 0.14$,"$0.10, 0.60$",$0.58 \pm 0.14$,"$0.40, 0.90$",52_task=bargaining_duration=long_term_scenario=pure_math_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.36 \pm 0.16$,"$0.17, 0.50$",$0.31 \pm 0.16$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.48 \pm 0.04$,"$0.40, 0.50$",$0.18 \pm 0.04$,"$0.17, 0.27$",$0.23 \pm 0.06$,"$0.10, 0.25$",53_task=bargaining_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.33 \pm 0.17$,"$0.17, 0.50$",$0.33 \pm 0.17$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",54_task=bargaining_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
