task,duration,scenario,value_setting,first_run_proposer,may_meet_again_context,long_term_type
signaling,one_shot,grading_students,bounded,coin_flip,may_meet_again_alternating,
signaling,one_shot,grading_students,bounded,coin_flip,may_meet_again_fixed_role,
signaling,one_shot,grading_students,bounded,system_assigned,never_meet_again,
signaling,one_shot,selling_products,bounded,coin_flip,may_meet_again_alternating,
signaling,one_shot,selling_products,bounded,coin_flip,may_meet_again_fixed_role,
signaling,one_shot,selling_products,bounded,system_assigned,never_meet_again,
signaling,long_term,pure_math,bounded,coin_flip,,alternating_offer
signaling,long_term,pure_math,bounded,system_assigned,,fixed_role
signaling,long_term,grading_students,bounded,coin_flip,,alternating_offer
signaling,long_term,grading_students,bounded,system_assigned,,fixed_role
signaling,long_term,selling_products,bounded,coin_flip,,alternating_offer
signaling,long_term,selling_products,bounded,system_assigned,,fixed_role
